SNS,CTR
FB,0.056
FB,0.053
FB,0.046
FB,0.04
FB,0.038
FB,0.038
FB,0.037
FB,0.036
FB,0.036
FB,0.035
FB,0.035
FB,0.033
FB,0.033
FB,0.032
FB,0.031
FB,0.03
FB,0.03
FB,0.03
FB,0.029
FB,0.029
FB,0.029
FB,0.028
FB,0.028
FB,0.028
FB,0.027
FB,0.027
FB,0.027
FB,0.023
FB,0.023
FB,0.023
FB,0.022
FB,0.021
FB,0.021
FB,0.021
FB,0.021
FB,0.02
FB,0.02
FB,0.02
FB,0.019
FB,0.019
FB,0.019
FB,0.019
FB,0.019
FB,0.019
FB,0.019
FB,0.019
FB,0.018
FB,0.018
FB,0.018
FB,0.018
FB,0.018
FB,0.018
FB,0.018
FB,0.017
FB,0.017
FB,0.017
FB,0.017
FB,0.017
FB,0.017
FB,0.017
FB,0.017
FB,0.016
FB,0.016
FB,0.016
FB,0.016
FB,0.016
FB,0.016
FB,0.016
FB,0.016
FB,0.015
FB,0.015
FB,0.015
FB,0.015
FB,0.015
FB,0.015
FB,0.015
FB,0.014
FB,0.014
FB,0.014
FB,0.014
FB,0.014
FB,0.014
FB,0.014
FB,0.014
FB,0.014
FB,0.014
FB,0.014
FB,0.014
FB,0.014
FB,0.013
FB,0.013
FB,0.013
FB,0.013
FB,0.013
FB,0.013
FB,0.013
FB,0.013
FB,0.012
FB,0.012
FB,0.012
FB,0.012
FB,0.012
FB,0.012
FB,0.012
FB,0.012
FB,0.012
FB,0.012
FB,0.012
FB,0.012
FB,0.012
FB,0.012
FB,0.012
FB,0.012
FB,0.012
FB,0.012
FB,0.011
FB,0.011
FB,0.011
FB,0.011
FB,0.011
FB,0.011
FB,0.011
FB,0.011
FB,0.011
FB,0.01
FB,0.01
FB,0.01
FB,0.01
FB,0.01
FB,0.01
FB,0.01
FB,0.01
FB,0.01
FB,0.01
FB,0.01
FB,0.01
FB,0.01
FB,0.01
FB,0.01
FB,0.01
FB,0.009
FB,0.009
FB,0.009
FB,0.009
FB,0.009
FB,0.009
FB,0.009
FB,0.009
FB,0.009
FB,0.008
FB,0.008
FB,0.008
FB,0.008
FB,0.008
FB,0.008
FB,0.008
FB,0.008
FB,0.008
FB,0.007
FB,0.007
FB,0.007
FB,0.007
FB,0.007
FB,0.006
FB,0.006
FB,0.006
FB,0.006
FB,0.006
FB,0.006
FB,0.006
FB,0.005
FB,0.005
FB,0.005
FB,0.005
FB,0.005
FB,0.005
FB,0.005
FB,0.005
FB,0.005
FB,0.005
FB,0.005
FB,0.004
FB,0.004
FB,0.004
FB,0.004
FB,0.003
FB,0.003
FB,0.002
IG,0.12
IG,0.071
IG,0.071
IG,0.065
IG,0.064
IG,0.058
IG,0.055
IG,0.055
IG,0.051
IG,0.049
IG,0.048
IG,0.048
IG,0.047
IG,0.045
IG,0.044
IG,0.044
IG,0.043
IG,0.043
IG,0.043
IG,0.042
IG,0.042
IG,0.042
IG,0.042
IG,0.041
IG,0.041
IG,0.039
IG,0.039
IG,0.039
IG,0.038
IG,0.038
IG,0.038
IG,0.037
IG,0.037
IG,0.037
IG,0.037
IG,0.036
IG,0.036
IG,0.034
IG,0.034
IG,0.034
IG,0.034
IG,0.034
IG,0.033
IG,0.033
IG,0.032
IG,0.031
IG,0.031
IG,0.031
IG,0.031
IG,0.031
IG,0.031
IG,0.031
IG,0.031
IG,0.031
IG,0.03
IG,0.03
IG,0.03
IG,0.03
IG,0.03
IG,0.03
IG,0.03
IG,0.029
IG,0.029
IG,0.029
IG,0.029
IG,0.029
IG,0.029
IG,0.028
IG,0.028
IG,0.028
IG,0.028
IG,0.028
IG,0.028
IG,0.028
IG,0.028
IG,0.027
IG,0.027
IG,0.027
IG,0.027
IG,0.027
IG,0.027
IG,0.027
IG,0.027
IG,0.027
IG,0.027
IG,0.027
IG,0.027
IG,0.027
IG,0.027
IG,0.026
IG,0.026
IG,0.026
IG,0.026
IG,0.026
IG,0.026
IG,0.025
IG,0.025
IG,0.025
IG,0.025
IG,0.025
IG,0.025
IG,0.025
IG,0.025
IG,0.025
IG,0.025
IG,0.024
IG,0.024
IG,0.024
IG,0.024
IG,0.024
IG,0.024
IG,0.023
IG,0.023
IG,0.023
IG,0.023
IG,0.023
IG,0.023
IG,0.023
IG,0.023
IG,0.023
IG,0.022
IG,0.022
IG,0.022
IG,0.022
IG,0.022
IG,0.022
IG,0.022
IG,0.022
IG,0.022
IG,0.021
IG,0.021
IG,0.021
IG,0.021
IG,0.021
IG,0.021
IG,0.021
IG,0.021
IG,0.021
IG,0.02
IG,0.02
IG,0.02
IG,0.02
IG,0.02
IG,0.02
IG,0.02
IG,0.02
IG,0.02
IG,0.02
IG,0.02
IG,0.02
IG,0.02
IG,0.019
IG,0.019
IG,0.019
IG,0.019
IG,0.019
IG,0.019
IG,0.019
IG,0.019
IG,0.019
IG,0.019
IG,0.019
IG,0.019
IG,0.019
IG,0.018
IG,0.018
IG,0.018
IG,0.018
IG,0.018
IG,0.018
IG,0.018
IG,0.018
IG,0.018
IG,0.018
IG,0.018
IG,0.018
IG,0.018
IG,0.018
IG,0.018
IG,0.018
IG,0.017
IG,0.017
IG,0.017
IG,0.017
IG,0.017
IG,0.017
IG,0.017
IG,0.017
IG,0.017
IG,0.017
IG,0.017
IG,0.017
IG,0.017
IG,0.017
IG,0.017
IG,0.017
IG,0.016
IG,0.016
IG,0.016
IG,0.016
IG,0.016
IG,0.016
IG,0.016
IG,0.016
IG,0.016
IG,0.016
IG,0.016
IG,0.016
IG,0.016
IG,0.016
IG,0.016
IG,0.016
IG,0.016
IG,0.016
IG,0.016
IG,0.016
IG,0.016
IG,0.016
IG,0.016
IG,0.016
IG,0.016
IG,0.016
IG,0.016
IG,0.015
IG,0.015
IG,0.015
IG,0.015
IG,0.015
IG,0.015
IG,0.015
IG,0.015
IG,0.015
IG,0.015
IG,0.015
IG,0.015
IG,0.015
IG,0.015
IG,0.015
IG,0.015
IG,0.015
IG,0.015
IG,0.015
IG,0.015
IG,0.015
IG,0.015
IG,0.014
IG,0.014
IG,0.014
IG,0.014
IG,0.014
IG,0.014
IG,0.014
IG,0.014
IG,0.014
IG,0.014
IG,0.014
IG,0.013
IG,0.013
IG,0.013
IG,0.013
IG,0.013
IG,0.013
IG,0.013
IG,0.013
IG,0.013
IG,0.013
IG,0.013
IG,0.013
IG,0.013
IG,0.013
IG,0.013
IG,0.012
IG,0.012
IG,0.012
IG,0.012
IG,0.012
IG,0.012
IG,0.012
IG,0.012
IG,0.012
IG,0.012
IG,0.012
IG,0.012
IG,0.012
IG,0.012
IG,0.012
IG,0.012
IG,0.012
IG,0.011
IG,0.011
IG,0.011
IG,0.011
IG,0.011
IG,0.011
IG,0.011
IG,0.011
IG,0.011
IG,0.01
IG,0.01
IG,0.01
IG,0.01
IG,0.01
IG,0.01
IG,0.01
IG,0.01
IG,0.01
IG,0.01
IG,0.01
IG,0.01
IG,0.01
IG,0.01
IG,0.01
IG,0.009
IG,0.009
IG,0.009
IG,0.009
IG,0.009
IG,0.009
IG,0.009
IG,0.009
IG,0.009
IG,0.009
IG,0.009
IG,0.008
IG,0.008
IG,0.008
IG,0.008
IG,0.008
IG,0.008
IG,0.008
IG,0.008
IG,0.008
IG,0.008
IG,0.008
IG,0.007
IG,0.007
IG,0.007
IG,0.007
IG,0.007
IG,0.007
IG,0.007
IG,0.006
IG,0.006
IG,0.006
IG,0.006
IG,0.006
IG,0.006
IG,0.006
IG,0.006
IG,0.005
IG,0.005
IG,0.005
IG,0.005
IG,0.005
IG,0.004
IG,0.004
IG,0.004
IG,0.003
IG,0.003
IG,0.003
IG,0.003
IG,0.002
IG,0.001
IG,0.001
IG,0.001
Kakao,0.169
Kakao,0.147
Kakao,0.132
Kakao,0.122
Kakao,0.115
Kakao,0.113
Kakao,0.097
Kakao,0.097
Kakao,0.096
Kakao,0.093
Kakao,0.093
Kakao,0.091
Kakao,0.089
Kakao,0.088
Kakao,0.088
Kakao,0.088
Kakao,0.084
Kakao,0.084
Kakao,0.083
Kakao,0.083
Kakao,0.081
Kakao,0.081
Kakao,0.08
Kakao,0.079
Kakao,0.079
Kakao,0.077
Kakao,0.075
Kakao,0.075
Kakao,0.074
Kakao,0.072
Kakao,0.072
Kakao,0.071
Kakao,0.07
Kakao,0.07
Kakao,0.069
Kakao,0.068
Kakao,0.067
Kakao,0.067
Kakao,0.067
Kakao,0.065
Kakao,0.064
Kakao,0.064
Kakao,0.063
Kakao,0.062
Kakao,0.061
Kakao,0.059
Kakao,0.058
Kakao,0.058
Kakao,0.057
Kakao,0.053
Kakao,0.053
Kakao,0.051
Kakao,0.051
Kakao,0.051
Kakao,0.05
Kakao,0.049
Kakao,0.048
Kakao,0.048
Kakao,0.048
Kakao,0.047
Kakao,0.043
Kakao,0.043
Kakao,0.043
Kakao,0.043
Kakao,0.042
Kakao,0.04
Kakao,0.04
Kakao,0.039
Kakao,0.038
Kakao,0.038
Kakao,0.038
Kakao,0.036
Kakao,0.036
Kakao,0.035
Kakao,0.035
Kakao,0.035
Kakao,0.034
Kakao,0.033
Kakao,0.033
Kakao,0.032
Kakao,0.031
Kakao,0.031
Kakao,0.031
Kakao,0.03
Kakao,0.03
Kakao,0.03
Kakao,0.03
Kakao,0.029
Kakao,0.029
Kakao,0.028
Kakao,0.028
Kakao,0.027
Kakao,0.024
Kakao,0.024
Kakao,0.024
Kakao,0.024
Kakao,0.024
Kakao,0.024
Kakao,0.024
Kakao,0.023
Kakao,0.023
Kakao,0.023
Kakao,0.023
Kakao,0.023
Kakao,0.023
Kakao,0.022
Kakao,0.022
Kakao,0.021
Kakao,0.021
Kakao,0.02
Kakao,0.019
Kakao,0.019
Kakao,0.019
Kakao,0.019
Kakao,0.019
Kakao,0.018
Kakao,0.018
Kakao,0.018
Kakao,0.017
Kakao,0.017
Kakao,0.016
Kakao,0.015
Kakao,0.015
Kakao,0.015
Kakao,0.015
Kakao,0.015
Kakao,0.015
Kakao,0.014
Kakao,0.014
Kakao,0.014
Kakao,0.014
Kakao,0.013
Kakao,0.013
Kakao,0.013
Kakao,0.013
Kakao,0.013
Kakao,0.012
Kakao,0.012
Kakao,0.012
Kakao,0.012
Kakao,0.011
Kakao,0.011
Kakao,0.01
Kakao,0.01
Kakao,0.01
Kakao,0.01
Kakao,0.009
Kakao,0.009
Kakao,0.009
Kakao,0.009
Kakao,0.008
Kakao,0.008
Kakao,0.008
Kakao,0.008
Kakao,0.008
Kakao,0.006
Kakao,0.006
Kakao,0.006
Kakao,0.006
Kakao,0.005
Kakao,0.003
YouTube,0.181
YouTube,0.118
YouTube,0.115
YouTube,0.09
YouTube,0.089
YouTube,0.089
YouTube,0.079
YouTube,0.078
YouTube,0.077
YouTube,0.075
YouTube,0.075
YouTube,0.072
YouTube,0.071
YouTube,0.071
YouTube,0.071
YouTube,0.07
YouTube,0.07
YouTube,0.069
YouTube,0.069
YouTube,0.066
YouTube,0.066
YouTube,0.065
YouTube,0.063
YouTube,0.06
YouTube,0.06
YouTube,0.06
YouTube,0.058
YouTube,0.057
YouTube,0.056
YouTube,0.055
YouTube,0.055
YouTube,0.054
YouTube,0.054
YouTube,0.054
YouTube,0.053
YouTube,0.052
YouTube,0.052
YouTube,0.051
YouTube,0.051
YouTube,0.051
YouTube,0.051
YouTube,0.051
YouTube,0.05
YouTube,0.05
YouTube,0.049
YouTube,0.049
YouTube,0.049
YouTube,0.048
YouTube,0.048
YouTube,0.047
YouTube,0.046
YouTube,0.044
YouTube,0.044
YouTube,0.044
YouTube,0.044
YouTube,0.043
YouTube,0.043
YouTube,0.042
YouTube,0.041
YouTube,0.041
YouTube,0.04
YouTube,0.04
YouTube,0.04
YouTube,0.04
YouTube,0.039
YouTube,0.039
YouTube,0.039
YouTube,0.039
YouTube,0.038
YouTube,0.038
YouTube,0.038
YouTube,0.038
YouTube,0.038
YouTube,0.037
YouTube,0.036
YouTube,0.036
YouTube,0.036
YouTube,0.036
YouTube,0.035
YouTube,0.035
YouTube,0.034
YouTube,0.034
YouTube,0.034
YouTube,0.034
YouTube,0.033
YouTube,0.033
YouTube,0.032
YouTube,0.032
YouTube,0.032
YouTube,0.032
YouTube,0.032
YouTube,0.032
YouTube,0.031
YouTube,0.031
YouTube,0.031
YouTube,0.03
YouTube,0.03
YouTube,0.03
YouTube,0.03
YouTube,0.03
YouTube,0.029
YouTube,0.028
YouTube,0.028
YouTube,0.028
YouTube,0.028
YouTube,0.028
YouTube,0.028
YouTube,0.027
YouTube,0.027
YouTube,0.027
YouTube,0.027
YouTube,0.027
YouTube,0.027
YouTube,0.026
YouTube,0.026
YouTube,0.026
YouTube,0.026
YouTube,0.026
YouTube,0.026
YouTube,0.025
YouTube,0.025
YouTube,0.025
YouTube,0.025
YouTube,0.025
YouTube,0.025
YouTube,0.025
YouTube,0.025
YouTube,0.025
YouTube,0.024
YouTube,0.024
YouTube,0.024
YouTube,0.024
YouTube,0.024
YouTube,0.024
YouTube,0.024
YouTube,0.023
YouTube,0.023
YouTube,0.023
YouTube,0.023
YouTube,0.023
YouTube,0.022
YouTube,0.022
YouTube,0.022
YouTube,0.022
YouTube,0.021
YouTube,0.021
YouTube,0.021
YouTube,0.021
YouTube,0.021
YouTube,0.021
YouTube,0.02
YouTube,0.02
YouTube,0.02
YouTube,0.02
YouTube,0.02
YouTube,0.02
YouTube,0.02
YouTube,0.02
YouTube,0.02
YouTube,0.02
YouTube,0.02
YouTube,0.02
YouTube,0.02
YouTube,0.02
YouTube,0.02
YouTube,0.02
YouTube,0.02
YouTube,0.02
YouTube,0.02
YouTube,0.019
YouTube,0.019
YouTube,0.019
YouTube,0.019
YouTube,0.018
YouTube,0.018
YouTube,0.018
YouTube,0.017
YouTube,0.017
YouTube,0.017
YouTube,0.017
YouTube,0.017
YouTube,0.017
YouTube,0.016
YouTube,0.016
YouTube,0.016
YouTube,0.016
YouTube,0.016
YouTube,0.016
YouTube,0.016
YouTube,0.016
YouTube,0.016
YouTube,0.016
YouTube,0.015
YouTube,0.015
YouTube,0.015
YouTube,0.015
YouTube,0.015
YouTube,0.015
YouTube,0.015
YouTube,0.015
YouTube,0.015
YouTube,0.014
YouTube,0.014
YouTube,0.014
YouTube,0.014
YouTube,0.014
YouTube,0.014
YouTube,0.014
YouTube,0.014
YouTube,0.014
YouTube,0.014
YouTube,0.013
YouTube,0.013
YouTube,0.013
YouTube,0.013
YouTube,0.013
YouTube,0.013
YouTube,0.013
YouTube,0.013
YouTube,0.013
YouTube,0.013
YouTube,0.013
YouTube,0.013
YouTube,0.013
YouTube,0.013
YouTube,0.013
YouTube,0.012
YouTube,0.012
YouTube,0.012
YouTube,0.012
YouTube,0.012
YouTube,0.012
YouTube,0.012
YouTube,0.012
YouTube,0.012
YouTube,0.012
YouTube,0.012
YouTube,0.012
YouTube,0.012
YouTube,0.012
YouTube,0.012
YouTube,0.011
YouTube,0.011
YouTube,0.011
YouTube,0.011
YouTube,0.011
YouTube,0.011
YouTube,0.01
YouTube,0.01
YouTube,0.01
YouTube,0.01
YouTube,0.01
YouTube,0.01
YouTube,0.01
YouTube,0.01
YouTube,0.01
YouTube,0.01
YouTube,0.01
YouTube,0.01
YouTube,0.009
YouTube,0.009
YouTube,0.009
YouTube,0.009
YouTube,0.009
YouTube,0.008
YouTube,0.008
YouTube,0.008
YouTube,0.008
YouTube,0.007
YouTube,0.007
YouTube,0.007
YouTube,0.006
YouTube,0.006
YouTube,0.006
YouTube,0.006
YouTube,0.006
YouTube,0.006
YouTube,0.005
YouTube,0.005
YouTube,0.004
